file,folder,status,bytes,source,note
Pintrich_1991_MSLQ_manual_and_original_questionnaire.pdf,pdfs,downloaded,1779257,ERIC,MSLQ manual and questionnaire
Pintrich_1991_MSLQ_manual_and_original_questionnaire.pdf,questionnaire_originals,downloaded,1779257,ERIC,Original MSLQ questionnaire resource
Thomas_Anderson_Nashon_2008_SEMLI_S_development_instrument.pdf,pdfs,downloaded,494210,ERIC,SEMLI-S development article
Thomas_Anderson_Nashon_2008_SEMLI_S_appendix_original_questionnaire.pdf,questionnaire_originals,extracted,325158,Thomas et al. 2008 appendix,Full SEMLI-S appendix questionnaire
Alpaslan_Yalvac_Loving_Willson_2016_high_school_physics_epistemologies_SRL.pdf,pdfs,downloaded,708465,previous_download,High school physics MEBQ/MSLQ empirical article
PhysPort_2011_PSEQ_original_questionnaire.pdf,questionnaire_originals,downloaded,190030,PhysPort,Physics Self-Efficacy Questionnaire
PhysPort_2023_PSEQ_implementation_guide.pdf,pdfs,downloaded,282915,PhysPort,PSEQ guide
PhysPort_2004_SOSESC_P_original_questionnaire.pdf,questionnaire_originals,downloaded,149426,PhysPort,SOSESC-P original questionnaire
PhysPort_2004_SOSESC_P_answer_key.pdf,questionnaire_originals,downloaded,86030,PhysPort,SOSESC-P answer key
PhysPort_2023_SOSESC_P_implementation_guide.pdf,pdfs,downloaded,208619,PhysPort,SOSESC-P guide
Fencl_Scheel_2003_SOSESC_P_development_article.pdf,pdfs,downloaded,129523,previous_download,SOSESC-P development article
UGA_2011_SMQ_II_original_questionnaire.pdf,questionnaire_originals,downloaded,179771,UGA,SMQ-II original questionnaire
UGA_SMQ_II_components_scales.pdf,questionnaire_originals,downloaded,142660,UGA,SMQ-II scales/components
Glynn_2011_SMQ_II_validation_article.pdf,pdfs,downloaded,559573,UGA,SMQ-II validation article
Conley_Pintrich_Vekiri_Harrison_2004_epistemological_beliefs_science_MEBQ.pdf,pdfs,user_provided_and_renamed,246336,user_downloaded,Renamed from conley2004.pdf
Conley_Pintrich_Vekiri_Harrison_2004_MEBQ_appendix_original_questionnaire.pdf,questionnaire_originals,extracted,238455,Conley et al. 2004 Appendix A,Full MEBQ item appendix from user-provided article
Phan_Deo_revised_learning_process_questionnaire_R_LPQ_2F_secondary_students.pdf,pdfs,user_provided_and_renamed,399005,user_downloaded,Renamed from The_revised_learning_process_questionnai.pdf
PhysPort_2004_CLASS_original_questionnaire.pdf,questionnaire_originals,downloaded,295848,PhysPort,CLASS original questionnaire; optional background
PhysPort_2004_CLASS_answer_key.pdf,questionnaire_originals,downloaded,35963,PhysPort,CLASS answer key; optional background
PhysPort_2023_CLASS_implementation_guide.pdf,pdfs,downloaded,436406,PhysPort,CLASS guide; optional background
Velayutham_Aldridge_Afari_2013_learning_environment_motivation_self_regulation_SEM_bookchapter.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Maison_Syahrial_Syamsurizal_Tanti_2019_learning_environment_beliefs_SRL_physics_SEM.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Irsalina_2025_SRL_physics_high_school_Rasch_article.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Ramadhani_2024_SRL_questionnaire_high_school_Rasch_article.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Chow_Chapman_2018_R_LPQ_2F_construct_validity_Singapore_high_school_physics.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Chow_Chapman_2018_R_LPQ_2F_table1_original_questionnaire_items.pdf,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
Schraw_Dennison_1994_MAI_original_questionnaire_public_copy.pdf,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
Barnard_Brak_Lan_Paton_2010_OSLQ_appendix_original_questionnaire.pdf,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
Barnard_Brak_Lan_Paton_2010_OSLQ_appendix_original_questionnaire.jpg,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
Barnard_Brak_Lan_Paton_2010_OSLQ_profiles_article.html,web_sources,removed_by_user_request,0,user_request,Deleted
Sperling_Howard_Miller_Murphy_2002_Jr_MAI_measures_childrens_metacognition.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Sperling_Howard_Miller_Murphy_2002_Jr_MAI_appendices_original_questionnaires.pdf,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
Tise_Follmer_Sperling_2019_SRSI_SR_review.pdf,pdfs,removed_by_user_request,0,user_request,Deleted from pdfs
Tise_Follmer_Sperling_2019_SRSI_SR_table1_example_items.pdf,questionnaire_originals,removed_by_user_request,0,user_request,Deleted
